system	dropwizard-2.0.22	maven-maven-3.8.1	metrics-4.1.22	spring-data-jdbc-2.2.1	total
m1-2020@3.2@osx11.2@4c          	129	28	61	23	241
m1-2020@3.2@osx11.2             	130	29	62	23	244
i9-9900k@3.6@u20.04             	142	27	66	28	263
xeon-8370c@d16ds_v5@azr         	146	29	62	29	266
i9-9900@3.1@u20.04              	147	27	68	28	270
xeon-8370c@e16ds_v5@azr         	148	29	64	29	270
i7-9700k@3.6@u20.04             	151	28	67	28	274
epyc-7763@d16ads_v5@azr         	154	30	66	31	281
i7-9700f@3@u20.04@r             	161	28	70	28	287
ar5-3600@2.2@u20.04             	172	30	67	30	299
epyc-7j13@std-e4.flex-6-64gb@oci@4c	163	35	73	36	307
epyc-7j13@std-e4.flex-6-64gb@oci@8c	163	35	74	36	308
i9-9900@3.1@macos11.5           	178	34	73	30	315
i7-9700f@3@u20.04               	180	30	77	30	317
i7-9700f@3@macos11.5            	185	35	70	32	322
xeon-8370c@e8ds_v5@azr          	191	33	77	31	332
i9-9900k@3.6@w10pe              	202	36	73	29	340
xeon-8272cl@e16ds_v4@azr        	187	37	79	38	341
epyc-7j13@std-e4.flex-6-64gb@oci	182	40	80	41	343
i7-9700k@3.6@w10pe              	201	38	79	32	350
xeon-8272cl@d16ds_v4@azr        	192	38	81	39	350
ampere@std-a1.flex-16-80gb@oci  	182	43	80	47	352
ampere@std-a1-flex-16-80gb@oci@8c	183	43	80	47	353
ampere@std-a1.flex-15-84gb@oci  	182	44	80	49	355
i9-9900@3.1@w10pe               	212	37	75	31	355
i7-9700f@3@w10pe                	215	38	78	31	362
epyc-7j13@std-e4.flex-5-82gb@oci	198	44	87	45	374
xeon-8370c@e16ds_v5@azr_w       	207	54	76	40	377
ampere@std-a1-flex-8-48gb@oci   	201	44	91	48	384
i7-7700@3.6@u20.04@r            	235	35	89	33	392
xeon-8272cl@e8ds_v4@azr         	240	40	94	40	414
xeon-8370c@e8ds_v5@azr_w        	259	54	97	43	453
xeon-8272cl@e16ds_v4@azr_w      	255	61	95	53	464
i7-3770@3.4@@u20.04             	264	47	109	48	468
xeon-8272cl@e8s_v3@azr          	291	50	113	49	503
ampere@std-a1-flex-4-24gb@oci   	295	51	121	50	517
i7-3770@3.4@macos10.15          	302	65	125	59	551
i7-3770@3.4@w10pe               	327	62	127	53	569
i7-7700-4c@3.6@al3.14           	378	50	149	39	616
epyc-7551@std-e2.4-32gb@oci     	352	64	141	67	624
i3-6100@3.7@u20.04@r            	425	61	194	59	739
i3-6100@3.7@osx10.15            	412	73	200	62	747
xeon-8272cl@e8s_v3@azr_w        	440	95	164	81	780
i3-6100@3.7@w10pe               	478	71	181	57	787
i5-760@2.8@u20.04               	487	79	178	72	816
i5-760@2.8@w10pe                	555	89	198	73	915
i5-4288u@2.6@osx11.4@r          	567	89	205	81	942
i5-4288u@2.6@osx11.4            	723	122	271	83	1199
